area_code,area_name,working_age,state_pension_age,ratio
E05000821,Bowdon,5300,2369,44.7
E05000830,Hale Barns,5549,2480,44.7
E05000828,Flixton,6480,2373,36.6
E05000827,Davyhulme West,5959,2111,35.4
E05000823,Brooklands,6263,2111,33.7
E05000839,Village,6391,2156,33.7
E05000837,Timperley,6671,2206,33.1
E05000820,Ashton upon Mersey,6134,1976,32.2
E05000826,Davyhulme East,6008,1924,32
E05000838,Urmston,7052,2231,31.6
E05000834,St Mary's,7291,2221,30.5
E05000835,Sale Moor,6564,1844,28.1
E05000824,Bucklow-St Martins,6331,1592,25.1
E05000819,Altrincham,8053,1995,24.8
E05000831,Hale Central,6726,1599,23.8
E05000822,Broadheath,8586,1963,22.9
E05000836,Stretford,7312,1640,22.4
E05000833,Priory,7685,1686,21.9
E05000832,Longford,8011,1711,21.4
E05000829,Gorse Hill,8206,1339,16.3
E05000825,Clifford,8254,1092,13.2
