area_code,area_name,indicator,period,measure,unit,value
E05000819,Altrincham,Median house price by ward,2018,Price,Sterling,319750
E05000820,Ashton upon Mersey,Median house price by ward,2018,Price,Sterling,280000
E05000821,Bowdon,Median house price by ward,2018,Price,Sterling,650000
E05000822,Broadheath,Median house price by ward,2018,Price,Sterling,245000
E05000823,Brooklands,Median house price by ward,2018,Price,Sterling,321500
E05000824,Bucklow-St Martins,Median house price by ward,2018,Price,Sterling,165000
E05000825,Clifford,Median house price by ward,2018,Price,Sterling,230000
E05000826,Davyhulme East,Median house price by ward,2018,Price,Sterling,226475
E05000827,Davyhulme West,Median house price by ward,2018,Price,Sterling,241750
E05000828,Flixton,Median house price by ward,2018,Price,Sterling,250000
E05000829,Gorse Hill,Median house price by ward,2018,Price,Sterling,185500
E05000830,Hale Barns,Median house price by ward,2018,Price,Sterling,552500
E05000831,Hale Central,Median house price by ward,2018,Price,Sterling,504125
E05000832,Longford,Median house price by ward,2018,Price,Sterling,177750
E05000833,Priory,Median house price by ward,2018,Price,Sterling,248000
E05000835,Sale Moor,Median house price by ward,2018,Price,Sterling,271000
E05000834,St Mary's,Median house price by ward,2018,Price,Sterling,280000
E05000836,Stretford,Median house price by ward,2018,Price,Sterling,230000
E05000837,Timperley,Median house price by ward,2018,Price,Sterling,327000
E05000838,Urmston,Median house price by ward,2018,Price,Sterling,237975
E05000839,Village,Median house price by ward,2018,Price,Sterling,310500
