area_code,area_name,indicator,period,measure,unit,value
E08000009,Trafford,Licensed electric vehicles,2019-04-01,Count,Vehicles,535
E08000009,Trafford,Licensed electric vehicles,2019-01-01,Count,Vehicles,498
E08000009,Trafford,Licensed electric vehicles,2018-10-01,Count,Vehicles,465
E08000009,Trafford,Licensed electric vehicles,2018-07-01,Count,Vehicles,448
E08000009,Trafford,Licensed electric vehicles,2018-04-01,Count,Vehicles,402
E08000009,Trafford,Licensed electric vehicles,2018-01-01,Count,Vehicles,359
E08000009,Trafford,Licensed electric vehicles,2017-10-01,Count,Vehicles,332
E08000009,Trafford,Licensed electric vehicles,2017-07-01,Count,Vehicles,310
E08000009,Trafford,Licensed electric vehicles,2017-04-01,Count,Vehicles,273
E08000009,Trafford,Licensed electric vehicles,2017-01-01,Count,Vehicles,245
E08000009,Trafford,Licensed electric vehicles,2016-10-01,Count,Vehicles,209
E08000009,Trafford,Licensed electric vehicles,2016-07-01,Count,Vehicles,192
E08000009,Trafford,Licensed electric vehicles,2016-04-01,Count,Vehicles,209
E08000009,Trafford,Licensed electric vehicles,2016-01-01,Count,Vehicles,183
E08000009,Trafford,Licensed electric vehicles,2015-10-01,Count,Vehicles,146
E08000009,Trafford,Licensed electric vehicles,2015-07-01,Count,Vehicles,120
E08000009,Trafford,Licensed electric vehicles,2015-04-01,Count,Vehicles,99
E08000009,Trafford,Licensed electric vehicles,2015-01-01,Count,Vehicles,73
E08000009,Trafford,Licensed electric vehicles,2014-10-01,Count,Vehicles,55
E08000009,Trafford,Licensed electric vehicles,2014-07-01,Count,Vehicles,38
E08000009,Trafford,Licensed electric vehicles,2014-04-01,Count,Vehicles,33
E08000009,Trafford,Licensed electric vehicles,2014-01-01,Count,Vehicles,28
E08000009,Trafford,Licensed electric vehicles,2013-10-01,Count,Vehicles,24
E08000009,Trafford,Licensed electric vehicles,2013-07-01,Count,Vehicles,25
E08000009,Trafford,Licensed electric vehicles,2013-04-01,Count,Vehicles,20
E08000009,Trafford,Licensed electric vehicles,2013-01-01,Count,Vehicles,18
E08000009,Trafford,Licensed electric vehicles,2012-10-01,Count,Vehicles,16
E08000009,Trafford,Licensed electric vehicles,2012-07-01,Count,Vehicles,15
E08000009,Trafford,Licensed electric vehicles,2012-04-01,Count,Vehicles,13
E08000009,Trafford,Licensed electric vehicles,2012-01-01,Count,Vehicles,11
E08000009,Trafford,Licensed electric vehicles,2011-10-01,Count,Vehicles,10
