site,indicator,measure,unit,period,value
Trafford A56,NO2,weakly mean,µg/m3,2018-01-29,32.4
Trafford A56,NO2,weakly mean,µg/m3,2018-02-05,39.6
Trafford A56,NO2,weakly mean,µg/m3,2018-02-12,38.8
Trafford A56,NO2,weakly mean,µg/m3,2018-02-19,33.5
Trafford A56,NO2,weakly mean,µg/m3,2018-02-26,24.7
Trafford A56,NO2,weakly mean,µg/m3,2018-03-05,43.5
Trafford A56,NO2,weakly mean,µg/m3,2018-03-12,28.8
Trafford A56,NO2,weakly mean,µg/m3,2018-03-19,32.3
Trafford A56,NO2,weakly mean,µg/m3,2018-03-26,27.3
Trafford A56,NO2,weakly mean,µg/m3,2018-04-02,31.5
Trafford A56,NO2,weakly mean,µg/m3,2018-04-09,32.9
Trafford A56,NO2,weakly mean,µg/m3,2018-04-16,28.7
Trafford A56,NO2,weakly mean,µg/m3,2018-04-23,21.8
Trafford A56,NO2,weakly mean,µg/m3,2019-01-29,45.1
Trafford A56,NO2,weakly mean,µg/m3,2019-02-05,33.7
Trafford A56,NO2,weakly mean,µg/m3,2019-02-12,37
Trafford A56,NO2,weakly mean,µg/m3,2019-02-19,47.3
Trafford A56,NO2,weakly mean,µg/m3,2019-02-26,45.2
Trafford A56,NO2,weakly mean,µg/m3,2019-03-05,24
Trafford A56,NO2,weakly mean,µg/m3,2019-03-12,17.1
Trafford A56,NO2,weakly mean,µg/m3,2019-03-19,30.5
Trafford A56,NO2,weakly mean,µg/m3,2019-03-26,38.7
Trafford A56,NO2,weakly mean,µg/m3,2019-04-02,28.3
Trafford A56,NO2,weakly mean,µg/m3,2019-04-09,25.2
Trafford A56,NO2,weakly mean,µg/m3,2019-04-16,38.1
Trafford A56,NO2,weakly mean,µg/m3,2019-04-23,26.2
Trafford A56,NO2,weakly mean,µg/m3,2020-01-29,17.9
Trafford A56,NO2,weakly mean,µg/m3,2020-02-05,27.4
Trafford A56,NO2,weakly mean,µg/m3,2020-02-12,20.9
Trafford A56,NO2,weakly mean,µg/m3,2020-02-19,16.1
Trafford A56,NO2,weakly mean,µg/m3,2020-02-26,20.6
Trafford A56,NO2,weakly mean,µg/m3,2020-03-04,28.3
Trafford A56,NO2,weakly mean,µg/m3,2020-03-11,16.8
Trafford A56,NO2,weakly mean,µg/m3,2020-03-18,21.8
Trafford A56,NO2,weakly mean,µg/m3,2020-03-25,18.3
Trafford A56,NO2,weakly mean,µg/m3,2020-04-01,10.3
Trafford A56,NO2,weakly mean,µg/m3,2020-04-08,15.8
Trafford A56,NO2,weakly mean,µg/m3,2020-04-15,16.4
Trafford A56,NO2,weakly mean,µg/m3,2020-04-22,17.5
