area_name,indicator,date,measure,unit,value,group
Trafford,Google community mobility trends,2020-02-15,Percentage change from baseline,Visits and length of stay,-0.07,Retail & recreation
Trafford,Google community mobility trends,2020-02-15,Percentage change from baseline,Visits and length of stay,-0.05,Supermarket & pharmacy
Trafford,Google community mobility trends,2020-02-15,Percentage change from baseline,Visits and length of stay,-0.33,Parks*
Trafford,Google community mobility trends,2020-02-16,Percentage change from baseline,Visits and length of stay,0.02,Retail & recreation
Trafford,Google community mobility trends,2020-02-16,Percentage change from baseline,Visits and length of stay,-0.02,Supermarket & pharmacy
Trafford,Google community mobility trends,2020-02-16,Percentage change from baseline,Visits and length of stay,0.01,Parks*
Trafford,Google community mobility trends,2020-02-17,Percentage change from baseline,Visits and length of stay,0.21,Retail & recreation
Trafford,Google community mobility trends,2020-02-17,Percentage change from baseline,Visits and length of stay,0.01,Supermarket & pharmacy
Trafford,Google community mobility trends,2020-02-17,Percentage change from baseline,Visits and length of stay,0.36,Parks*
Trafford,Google community mobility trends,2020-02-18,Percentage change from baseline,Visits and length of stay,0.21,Retail & recreation
Trafford,Google community mobility trends,2020-02-18,Percentage change from baseline,Visits and length of stay,0.01,Supermarket & pharmacy
Trafford,Google community mobility trends,2020-02-18,Percentage change from baseline,Visits and length of stay,0.38,Parks*
Trafford,Google community mobility trends,2020-02-19,Percentage change from baseline,Visits and length of stay,0.14,Retail & recreation
Trafford,Google community mobility trends,2020-02-19,Percentage change from baseline,Visits and length of stay,-0.01,Supermarket & pharmacy
Trafford,Google community mobility trends,2020-02-19,Percentage change from baseline,Visits and length of stay,0.11,Parks*
Trafford,Google community mobility trends,2020-02-20,Percentage change from baseline,Visits and length of stay,0.22,Retail & recreation
Trafford,Google community mobility trends,2020-02-20,Percentage change from baseline,Visits and length of stay,0,Supermarket & pharmacy
Trafford,Google community mobility trends,2020-02-20,Percentage change from baseline,Visits and length of stay,0.18,Parks*
Trafford,Google community mobility trends,2020-02-21,Percentage change from baseline,Visits and length of stay,0.12,Retail & recreation
