area_code,area_name,indicator,period,measure,unit,value
E06000007,Warrington,Affordability ratio,2010,ratio,House price / earnings,5.66
E06000050,Cheshire West and Chester,Affordability ratio,2010,ratio,House price / earnings,6.49
E08000002,Bury,Affordability ratio,2010,ratio,House price / earnings,5.41
E08000007,Stockport,Affordability ratio,2010,ratio,House price / earnings,6.39
E08000009,Trafford,Affordability ratio,2010,ratio,House price / earnings,6.9
E06000014,York,Affordability ratio,2010,ratio,House price / earnings,7.11
E06000015,Derby,Affordability ratio,2010,ratio,House price / earnings,3.87
E08000029,Solihull,Affordability ratio,2010,ratio,House price / earnings,7.22
E06000031,Peterborough,Affordability ratio,2010,ratio,House price / earnings,5.48
E06000034,Thurrock,Affordability ratio,2010,ratio,House price / earnings,6.54
E06000055,Bedford,Affordability ratio,2010,ratio,House price / earnings,7.33
E06000035,Medway,Affordability ratio,2010,ratio,House price / earnings,5.74
E06000038,Reading,Affordability ratio,2010,ratio,House price / earnings,6.39
E06000042,Milton Keynes,Affordability ratio,2010,ratio,House price / earnings,6.6
E06000025,South Gloucestershire,Affordability ratio,2010,ratio,House price / earnings,6.83
E06000030,Swindon,Affordability ratio,2010,ratio,House price / earnings,5.8
E06000007,Warrington,Affordability ratio,2011,ratio,House price / earnings,5.53
E06000050,Cheshire West and Chester,Affordability ratio,2011,ratio,House price / earnings,6.5
E08000002,Bury,Affordability ratio,2011,ratio,House price / earnings,5.06
E08000007,Stockport,Affordability ratio,2011,ratio,House price / earnings,5.99
E08000009,Trafford,Affordability ratio,2011,ratio,House price / earnings,6.89
E06000014,York,Affordability ratio,2011,ratio,House price / earnings,7.01
E06000015,Derby,Affordability ratio,2011,ratio,House price / earnings,3.82
E08000029,Solihull,Affordability ratio,2011,ratio,House price / earnings,7.34
E06000031,Peterborough,Affordability ratio,2011,ratio,House price / earnings,5.19
E06000034,Thurrock,Affordability ratio,2011,ratio,House price / earnings,6.67
E06000055,Bedford,Affordability ratio,2011,ratio,House price / earnings,7.13
E06000035,Medway,Affordability ratio,2011,ratio,House price / earnings,5.66
E06000038,Reading,Affordability ratio,2011,ratio,House price / earnings,6.16
E06000042,Milton Keynes,Affordability ratio,2011,ratio,House price / earnings,6.6
E06000025,South Gloucestershire,Affordability ratio,2011,ratio,House price / earnings,6.62
E06000030,Swindon,Affordability ratio,2011,ratio,House price / earnings,5.62
E06000007,Warrington,Affordability ratio,2012,ratio,House price / earnings,5.38
E06000050,Cheshire West and Chester,Affordability ratio,2012,ratio,House price / earnings,6.24
E08000002,Bury,Affordability ratio,2012,ratio,House price / earnings,5.18
E08000007,Stockport,Affordability ratio,2012,ratio,House price / earnings,5.88
E08000009,Trafford,Affordability ratio,2012,ratio,House price / earnings,6.71
E06000014,York,Affordability ratio,2012,ratio,House price / earnings,6.74
E06000015,Derby,Affordability ratio,2012,ratio,House price / earnings,3.73
E08000029,Solihull,Affordability ratio,2012,ratio,House price / earnings,6.8
E06000031,Peterborough,Affordability ratio,2012,ratio,House price / earnings,5.01
E06000034,Thurrock,Affordability ratio,2012,ratio,House price / earnings,6.63
E06000055,Bedford,Affordability ratio,2012,ratio,House price / earnings,7.32
E06000035,Medway,Affordability ratio,2012,ratio,House price / earnings,5.73
E06000038,Reading,Affordability ratio,2012,ratio,House price / earnings,6.18
E06000042,Milton Keynes,Affordability ratio,2012,ratio,House price / earnings,6.55
E06000025,South Gloucestershire,Affordability ratio,2012,ratio,House price / earnings,6.93
E06000030,Swindon,Affordability ratio,2012,ratio,House price / earnings,5.55
E06000007,Warrington,Affordability ratio,2013,ratio,House price / earnings,5.77
E06000050,Cheshire West and Chester,Affordability ratio,2013,ratio,House price / earnings,6.84
